Date,Power_Transformed_Normalized_WL
2023-01-01,0.16191371474225522
2023-01-02,0.17217112238676294
2023-01-03,0.18238101032193252
2023-01-04,0.192543014331094
2023-01-05,0.2026567701975774
2023-01-06,0.21272191370471283
2023-01-07,0.22273808063583034
2023-01-08,0.23270490677426
2023-01-09,0.24262202790333184
2023-01-10,0.25248907980637586
2023-01-11,0.2623056982667223
2023-01-12,0.2720715190677011
2023-01-13,0.2817861779926422
2023-01-14,0.29144931082487585
2023-01-15,0.3010605533477321
2023-01-16,0.3106195413445409
2023-01-17,0.3201259105986323
2023-01-18,0.3295792968933364
2023-01-19,0.3389793360119833
2023-01-20,0.34832566373790314
2023-01-21,0.3576179158544257
2023-01-22,0.36685572814488127
2023-01-23,0.3760387363925999
2023-01-24,0.3851665763809115
2023-01-25,0.39423888389314626
2023-01-26,0.4032552947126341
2023-01-27,0.41221544462270526
2023-01-28,0.42111896940668975
2023-01-29,0.42996550484791746
2023-01-30,0.4387546867297187
2023-01-31,0.4474861508354233
2023-02-01,0.4561595329483615
2023-02-02,0.46477446885186324
2023-02-03,0.47333059432925856
2023-02-04,0.4818275451638776
2023-02-05,0.4902649571390505
2023-02-06,0.498642466038107
2023-02-07,0.5069597076443775
2023-02-08,0.515216317741192
2023-02-09,0.5234119321118804
2023-02-10,0.5315461865397728
2023-02-11,0.5396187168081993
2023-02-12,0.54762915870049
2023-02-13,0.5555771479999749
2023-02-14,0.5634623204899841
2023-02-15,0.5712843119538475
2023-02-16,0.579266954089906
2023-02-17,0.5876019824099978
2023-02-18,0.5962408884176993
2023-02-19,0.6051351636165869
2023-02-20,0.6142362995102374
2023-02-21,0.623495787602227
2023-02-22,0.6328651193961321
2023-02-23,0.6422957863955294
2023-02-24,0.6517392801039953
2023-02-25,0.661147092025106
2023-02-26,0.6704707136624384
2023-02-27,0.6796616365195685
2023-02-28,0.6886713521000732
2023-03-01,0.6974513519075287
2023-03-02,0.7059531274455118
2023-03-03,0.7141281702175984
2023-03-04,0.7219279717273654
2023-03-05,0.7293040234783893
2023-03-06,0.7362078169742464
2023-03-07,0.742590843718513
2023-03-08,0.748404595214766
2023-03-09,0.7536005629665814
2023-03-10,0.758130238477536
2023-03-11,0.7619451132512063
2023-03-12,0.7649966787911684
2023-03-13,0.7672364266009991
2023-03-14,0.7686158481842749
2023-03-15,0.769086435044572
2023-03-16,0.7688972104487789
2023-03-17,0.7683461717907004
2023-03-18,0.767458271764287
2023-03-19,0.7662584630634897
2023-03-20,0.7647716983822589
2023-03-21,0.7630229304145455
2023-03-22,0.7610371118543003
2023-03-23,0.7588391953954738
2023-03-24,0.756454133732017
2023-03-25,0.7539068795578804
2023-03-26,0.7512223855670148
2023-03-27,0.7484256044533709
2023-03-28,0.7455414889108996
2023-03-29,0.7425949916335512
2023-03-30,0.739611065315277
2023-03-31,0.7366146626500274
2023-04-01,0.7336307363317531
2023-04-02,0.7306842390544048
2023-04-03,0.7278001235119335
2023-04-04,0.7250033423982897
2023-04-05,0.722318848407424
2023-04-06,0.7197715942332874
2023-04-07,0.7173865325698305
2023-04-08,0.715188616111004
2023-04-09,0.7132027975507589
2023-04-10,0.7114540295830455
2023-04-11,0.7099672649018146
2023-04-12,0.7087674562010172
2023-04-13,0.707879556174604
2023-04-14,0.7073285175165254
2023-04-15,0.7071392929207324
2023-04-16,0.7073093596462793
2023-04-17,0.7078040992115067
2023-04-18,0.7086003206992945
2023-04-19,0.7096748331925226
2023-04-20,0.7110044457740711
2023-04-21,0.7125659675268198
2023-04-22,0.7143362075336488
2023-04-23,0.7162919748774382
2023-04-24,0.7184100786410678
2023-04-25,0.7206673279074175
2023-04-26,0.7230405317593674
2023-04-27,0.7255064992797974
2023-04-28,0.7280420395515875
2023-04-29,0.7306239616576177
2023-04-30,0.7332290746807679
2023-05-01,0.7358341877039181
2023-05-02,0.7384161098099483
2023-05-03,0.7409516500817385
2023-05-04,0.7434176176021684
2023-05-05,0.7457908214541183
2023-05-06,0.7480480707204681
2023-05-07,0.7501661744840977
2023-05-08,0.752121941827887
2023-05-09,0.7538921818347161
2023-05-10,0.7554537035874649
2023-05-11,0.7567833161690134
2023-05-12,0.7578578286622415
2023-05-13,0.7586540501500292
2023-05-14,0.7591487897152566
2023-05-15,0.7593188564408034
2023-05-16,0.7591288811598317
2023-05-17,0.7585701304398976
2023-05-18,0.7576593669654726
2023-05-19,0.756413353421028
2023-05-20,0.7548488524910354
2023-05-21,0.7529826268599661
2023-05-22,0.7508314392122916
2023-05-23,0.7484120522324832
2023-05-24,0.7457412286050127
2023-05-25,0.7428357310143512
2023-05-26,0.7397123221449702
2023-05-27,0.7363877646813414
2023-05-28,0.7328788213079359
2023-05-29,0.7292022547092253
2023-05-30,0.725374827569681
2023-05-31,0.7214133025737745
2023-06-01,0.7173344424059772
2023-06-02,0.7131550097507604
2023-06-03,0.7088917672925958
2023-06-04,0.7045614777159548
2023-06-05,0.7001809037053087
2023-06-06,0.6957668079451289
2023-06-07,0.691335953119887
2023-06-08,0.6869051019140545
2023-06-09,0.6824910170121026
2023-06-10,0.6781104610985029
2023-06-11,0.6737801968577268
2023-06-12,0.6695169869742458
2023-06-13,0.6653375941325312
2023-06-14,0.6612587810170545
2023-06-15,0.6572973103122873
2023-06-16,0.653357815429081
2023-06-17,0.6493355948829826
2023-06-18,0.6452334090155064
2023-06-19,0.6410540181681669
2023-06-20,0.6368001826824785
2023-06-21,0.6324746628999555
2023-06-22,0.6280802191621122
2023-06-23,0.6236196118104632
2023-06-24,0.6190956011865228
