Date,Rainfall (mm/day),seasonal,WL
5/27/2020,0,0.989330518,0.587147584
5/28/2020,5.334,0.993881727,0.589509184
5/29/2020,0,0.997228906,0.591921864
5/30/2020,0,0.999294261,0.594365192
5/31/2020,0,1,0.596818735
6/1/2020,0.254,0.99887477,0.599262063
6/2/2020,0,0.995581364,0.601674743
6/3/2020,0,0.990243209,0.604036343
6/4/2020,0,0.982983734,0.60632643
6/5/2020,18.288,0.973926364,0.608524574
6/6/2020,0,0.963194528,0.610610342
6/7/2020,0,0.950911652,0.612563301
6/8/2020,0,0.937201164,0.614363021
6/9/2020,18.034,0.922186491,0.615989068
6/10/2020,34.798,0.905991061,0.617421012
6/11/2020,0,0.8887383,0.618638419
6/12/2020,0,0.870551635,0.619620858
6/13/2020,0,0.851554495,0.620347897
6/14/2020,0,0.831870306,0.620799104
6/15/2020,0,0.811622495,0.620954047
6/16/2020,0,0.79093449,0.620027647
6/17/2020,0,0.769929718,0.617321415
6/18/2020,1.016,0.748731606,0.612944803
6/19/2020,0.508,0.727463582,0.607007261
6/20/2020,0,0.706249072,0.599618243
6/21/2020,3.81,0.685211505,0.590887199
6/22/2020,41.91,0.664474306,0.58092358
6/23/2020,0,0.644160904,0.569836839
6/24/2020,0,0.624394726,0.557736427
6/25/2020,0,0.605299198,0.544731796
6/26/2020,18.796,0.586997749,0.530932396
6/27/2020,5.588,0.569613805,0.51644768
6/28/2020,1.524,0.553270794,0.5013871
6/29/2020,0,0.538092143,0.485860106
6/30/2020,0,0.524201279,0.46997615
7/1/2020,0.254,0.51099831,0.453844684
7/2/2020,0,0.497808897,0.43757516
7/3/2020,0,0.484644797,0.421277029
7/4/2020,0,0.471517767,0.405059742
7/5/2020,0,0.458439564,0.389032751
7/6/2020,0,0.445421945,0.373305508
7/7/2020,0,0.432476666,0.357987465
7/8/2020,0,0.419615484,0.343188072
7/9/2020,2.286,0.406850156,0.329016781
7/10/2020,0,0.39419244,0.315583045
7/11/2020,9.144,0.381654091,0.302996314
7/12/2020,0,0.369246867,0.29136604
7/13/2020,0,0.356982524,0.280801674
7/14/2020,18.796,0.34487282,0.271412669
7/15/2020,1.524,0.332929511,0.263308476
7/16/2020,0,0.321164354,0.255918655
7/17/2020,0,0.309589106,0.248603886
7/18/2020,0.254,0.298215524,0.241370296
7/19/2020,0,0.287055364,0.234224012
7/20/2020,0.762,0.276120384,0.227171161
7/21/2020,5.08,0.26542234,0.220217869
7/22/2020,0,0.254972989,0.213370266
7/23/2020,0,0.244784089,0.206634476
7/24/2020,0,0.234867395,0.200016629
7/25/2020,0,0.225234664,0.19352285
7/26/2020,13.208,0.215897655,0.187159267
7/27/2020,0,0.206868122,0.180932008
7/28/2020,0,0.198157824,0.174847199
7/29/2020,0,0.189778517,0.168910968
7/30/2020,0,0.181741958,0.163129441
7/31/2020,0,0.174059903,0.157508747
8/1/2020,0,0.166503457,0.152055011
8/2/2020,0,0.158851405,0.146774362
8/3/2020,0,0.151127028,0.141672927
8/4/2020,0,0.143353606,0.136756832
8/5/2020,0,0.135554421,0.132032204
8/6/2020,10.414,0.127752752,0.127505172
8/7/2020,0,0.119971881,0.123181862
8/8/2020,0,0.112235089,0.119068402
8/9/2020,0,0.104565655,0.115170918
8/10/2020,15.494,0.09698686,0.111495538
8/11/2020,0,0.089521986,0.108048388
8/12/2020,0,0.082194313,0.104835597
8/13/2020,0,0.075027122,0.101863291
8/14/2020,0,0.068043693,0.099137597
8/15/2020,8.636,0.061267306,0.096664643
8/16/2020,0,0.054721244,0.094362333
8/17/2020,0,0.048428786,0.092142491
8/18/2020,0,0.042413212,0.090002125
8/19/2020,0,0.036697805,0.087938241
8/20/2020,0,0.031305843,0.085947848
8/21/2020,0,0.026260609,0.084027953
8/22/2020,0,0.021585382,0.082175563
8/23/2020,0,0.017303444,0.080387686
8/24/2020,0,0.013438075,0.07866133
8/25/2020,0,0.010012555,0.076993501
8/26/2020,0,0.007050166,0.075381208
8/27/2020,0,0.004574188,0.073821457
8/28/2020,0,0.002607902,0.072311257
8/29/2020,0,0.001174588,0.070847614
8/30/2020,0,0.000297527,0.069427537
8/31/2020,0,0,0.068048032
9/1/2020,2.54,0.000100301,0.066706107
9/2/2020,0,0.000392086,0.06539877
9/3/2020,0,0.000861678,0.064123028
9/4/2020,0,0.001495398,0.062875888
9/5/2020,0,0.00227957,0.061654359
9/6/2020,0,0.003200517,0.060455446
9/7/2020,6.604,0.00424456,0.059276159
9/8/2020,34.798,0.005398022,0.058113504
9/9/2020,11.684,0.006647227,0.056964489
9/10/2020,13.97,0.007978496,0.055826121
9/11/2020,23.622,0.009378152,0.054695408
9/12/2020,0,0.010832518,0.053569357
9/13/2020,0,0.012327916,0.052444976
9/14/2020,0,0.013850669,0.051319272
9/15/2020,0,0.015387099,0.050189253
9/16/2020,0,0.01692353,0.049041117
9/17/2020,0,0.018446283,0.047866138
9/18/2020,0,0.019941681,0.046668929
9/19/2020,0,0.021396047,0.045454108
9/20/2020,0,0.022795703,0.044226288
9/21/2020,0,0.024126972,0.042990086
9/22/2020,0,0.025376176,0.041750117
9/23/2020,0,0.026529639,0.040510997
9/24/2020,0,0.027573682,0.03927734
9/25/2020,0,0.028494628,0.038053764
9/26/2020,0,0.029278801,0.036844882
9/27/2020,6.858,0.029912521,0.035655311
9/28/2020,0.508,0.030382113,0.034489665
9/29/2020,0,0.030673898,0.033352562
9/30/2020,0,0.030774199,0.032248615
10/1/2020,0,0.030742922,0.031182441
10/2/2020,0,0.030651843,0.030158655
10/3/2020,6.604,0.030505086,0.029181872
10/4/2020,0.254,0.030306774,0.028256708
10/5/2020,0,0.030061032,0.027387779
10/6/2020,0,0.029771985,0.026579699
10/7/2020,0,0.029443757,0.025837085
10/8/2020,0,0.029080472,0.025164552
10/9/2020,0,0.028686254,0.024566715
10/10/2020,0,0.028265228,0.024048191
10/11/2020,0,0.027821518,0.023613593
